choice;bank_partner;choice_1;choice_2;choice_3;choice_4;choice_5
CAP LA MONTAGNE;SARL CAP LA MONTAGNE;CAP LA MONTAGNE;FRUIT&VEG LEADER PRICE LA MONTAGNE (INT);LEADER PRICE LA MONTAGNE (INT);SARL GPF;LS FONTAINE
CAP ZEN;SARL CAPZEN;CAP ZEN;RADIÃ  SARL CARPANIN VD;CAPEX;CAP ZAN;SARL GPF
C CANNELLE LABO;SARL CCANNELLE LABO;C CANNELLE LABO;ELMA;L OCEANE;SARL BANANES;C'CANNELLE PDC
CHANE OU TEUNG;SARL CHAN OU TEUNG;CHANE OU TEUNG;SARL HDG;CHAN OU TEUNG SARL;LE CHAM' O;CHEZ MANOUTE
SAS DISTRI CITRONNELLE;SARL DISTRI CITRONNELLE;SAS DISTRI CITRONNELLE;SAS DISTRI CITRONNELLE 868;SARL HDG;SARL SWJ;ARMANDISTRI
SAS DISTRI LE GOL;SARL DISTRI LE GOL;SAS DISTRI LE GOL;LE GOLDEN;SARL HDG;SARL SWJ;ARMANDISTRI
;SARL DISTRI RIVE GAUCHE;SAS DISTRI RIVE GAUCHE (789);SAS DISTRI RIVE GAUCHE LES TERRASSES (787);SARL HDG;SARL SWJ;ARMANDISTRI
SARL GALERIES THIA-KIME;SARL GALERIE THIA-KIME;SARL GALERIES THIA-KIME;AC-KIER;SARL GPF;SARL HDG;BE THAI
GALLUS;SARL GALLUS;GALLUS;SARL GPF;SARL HDG;SARL GALERIES THIA-KIME;ATERLA
;SARL H R L EPICERIE LAW YEN;EPICERIE VELIA;EPICERIE LEBIHAN;SARL HDG;EPICERIE LES2L;VEL ICE
;SARL HAN;SARL BANANES;SARL HARLEM STREET;SARL JANNAT/POMME DE PAIN;SARL SANGA THOMAS;ANDY 30/ SARL STATION ELF ST LEU
HOLIDAYS ZEN SARL;SARL HOLIDAYS ZEN;AYDS;SARL HDG;CAP ZEN;HOLIDAYS ZEN SARL;EARL FOLIO
INTERNATIONAL SOCIETE;SARL INTERNATIONAL SOCIETE;INTERNATIONAL SOCIETE;LINO;NERF;NTSR;SARL ZINZIN
LA TABLE ZEN;SARL LA TABLE ZEN;LA TABLE ZEN;WOK TAMPON/ LA TABLE ZEN;ATERLA;BAR A4;LA BAZ
LEADER PRICE CILAOS (LS CAROUPAPOULLE);SARL LS CAROUPAPOULLE;LEADER PRICE CILAOS (LS CAROUPAPOULLE);PAJO;SARL SWJ;SAS LE CARACO;GALLUS
NARC SARL/RUN TACOS;SARL NARC;RADIÃ  SARL CARPANIN VD;SARL BANANES;SARL BLACK PEARL (OUTSIDE);SARL HARLEM STREET;SARL MACARONI BAR
MARCHE U PLATEAU CAILLOUX;SARL PLATEAU CAILLOUX;MARCHE U PLATEAU CAILLOUX;SARL GPF;SARL PALOMA;SARL SOPEN;ATERLA
;SARL SM DIS;SARL SMAK SUPERETTE;SARL 2S1M;SARL SWJ;SARL CSM/SUD PRESSE;SARL TOUS SERVICES TERRASS/STST
;SARL SOCIETE LOT;SARL SOCIETE LOT/COCCIMARKET PROVIDENCE;SARL SOPEN;SARL SWJ;INTERNATIONAL SOCIETE;SOCOTEC
SUNNYDAYS;SARL SUNNYDAYS;SUNNYDAYS;AYDS;SARL SWJ;SARL SOPEN;SARL 2S1M
SUPERMARCHE LAM TOW SARL;SARL SUPERMARCHE LAM TOW;SUPER M;SARL SOPEN;SAS SUPERMARCHE LAW WAI (BDN)/U EXPRESS;SUPERMARCHE LAM TOW SARL;CHEZ MAM
LA TABLE ZEN;SARL TABLE ZEN;LA TABLE ZEN;WOK TAMPON/ LA TABLE ZEN;LE ZEN EAT;LE BENTO;SA THAI
SARL VI TONG;SARL VI TONG;SARL VI TONG;ANDY 30/ SARL STATION ELF ST LEU;CROUSTI'PAIN SARL TAMPON / 127 BOULANGERIE;DKS SARL / MIO TAMPON;L EVASION
ZEN NORD;SARL ZEN NORD;ZEN NORD;SARL ZINZIN;CAP ZEN;SARL SOPEN;GO BY LE CAP MECHANT/ZEN NORD
ZEN TRAITEUR OI;SARL ZEN TRAITEUR;ZEN TRAITEUR OI;CB TRAITEUR;OKNM TRAITEUR;SEYREUN TRAITEUR;LE BON SNACK BAR RESTO TRAITEUR
AH SOON SARL U EXPRESS 14EME;SAS  AH-SOON;SAS LE PHOENIX/COISSER BRICE;SIS;SIS;SOOKS;LES 2 AS
LEADER PRICE SAINT LEU (CLA);SAS  CHONG-SI-TSAON LAO-;SAS DONGYI;B & CO;FCO;SAS RHDOI;SIS
;SAS  PROS DISTRI TROIS B;SAS L'APRO;DISTRIFOOD OI;DPR;RIMARO;SAS RHDOI
SD BEAUSEJOUR SAS;SAS  SD BEAUSEJOUR;SD BEAUSEJOUR SAS;SOS BEAUTE;SAS SEMAD;SAS SODIS;SIS
SUPER U EPERON;SAS  SD EPERON;SD EPERON;PEPE RONI;SODEXPRO;DPR;SAS SEMAD
SD LA PLAINE;SAS  SD LA PLAINE;SD LA PLAINE;SD LAPLAINE;HARAS DE LA PLAINE;LA MARINE;BOULANGERIE PATISSERIE DE LA PLAINE
U EXPRESS STE ROSE/ SD LA ROSE DES VENTS;SAS  SD LA ROSE DES VENT;U EXPRESS STE ROSE/ SD LA ROSE DES VENTS;AU GRE DES VENTS;LA POSTE;SI LA ROCHE;LA ZONE
;SAS  SD SB;SAS SODIS;LES GALETS DU SUD SARL/LA BAIE DES ANGES;SNACK LE SAMOUSSAS DU SUD;U EXP ST BENOIT / SD SB SAS;U EXPRESS SIDR SDP
;SAS  SELLF;MAISON SELLY CHARC/TRAITEUR;LMF;SAS SEMAD;SIS;SIS
BFDM 97410;SAS BFDM 97410;BFDM 97410;BWED 974;DMP;DMW;SIS
C'LABO;SAS C LABO;C'LABO;SAMOUSSAS LE LA;BAR CHEZ LABONNE;FRUITS ET LEGUMES DE LABOURDONNAIS;SAS L'APRO
;SAS DISTRI R G ZAC DES GREGUES;SAS SODIS;LE GREGUOIS;SAS DISTRI LE GOL;STATION ZAC DES GREGUES SARL;SAS DISTRI RIVE GAUCHE LES TERRASSES (787)
SAS LE BENTO;SAS LE BENTO;LE BENTO;SAS LE BENTO;EL BUENO;SALE BON;SAS LE MABOULETTE
LE PETIT COIN;SAS LE P TIT COIN;LE PETIT COIN;LE POINT JO;HOARAU FRED/LE P'TIT COIN VERT DES CANOTS;LE P'TIT COIN DES ZABITANTS;LE PETIT BONHEUR
;SAS LM CONCESSION;LM CONCESSION CARREFOUR BEL AIR;LM CONCESSION CARREFOUR LE PORT SACRE COEUR;LM CONCESSION CARREFOUR ST GILLES;LM CONCESSION CARREFOUR ST JOSEPH;LM CONCESSION CARREFOUR TERRE ROUGE
